project_id,run_root,record_type,record_path,run_id,domain,parent_run_id,source_commit,tool,process_id,target_l_3p75_nh,candidate_id,l_3p75_nh,q_3p75,status,size_bytes,modified_at
inductor_core,runs/overnight_smoke,manifest.csv,runs/overnight_smoke/manifest.csv,,,,,,,,,,,,5261,2026-06-29T13:47:12.804907+00:00
inductor_core,runs/overnight_smoke2,manifest.csv,runs/overnight_smoke2/manifest.csv,,,,,,,,,,,,1827,2026-06-29T13:48:16.513012+00:00
inductor_core,runs/overnight_smoke2,run_overnight_summary.json,runs/overnight_smoke2/run_overnight_summary.json,,,,,,,,,,,,755,2026-06-29T13:48:17.337509+00:00
inductor_core,runs/overnight_v2,manifest.csv,runs/overnight_v2/manifest.csv,,,,,,,,,,,,104291,2026-06-29T13:49:30.501175+00:00
inductor_core,runs/shunt_smoke,manifest.csv,runs/shunt_smoke/manifest.csv,,,,,,,,,,,,948,2026-06-29T14:02:37.434848+00:00
inductor_core,runs/target_L1p40276_L4,best_result.json,runs/target_L1p40276_L4/best_result.json,,,,,,,1.40276,LQ_N2p5_R47p25_W10p4_S14,1.4177487720863204,28.222486014297623,ok,12100,2026-06-30T11:11:44.901332+00:00
inductor_core,runs/target_L1p40276_L4,manifest.csv,runs/target_L1p40276_L4/manifest.csv,,,,,,,,,,,,2317,2026-06-30T11:05:27.968456+00:00
inductor_core,runs/target_L1p40276_L4,proposal.json,runs/target_L1p40276_L4/proposal.json,,,,,,,1.40276,,,,,5523,2026-06-30T11:05:27.968456+00:00
inductor_core,runs/target_L3p28311_branch3,best_result.json,runs/target_L3p28311_branch3/best_result.json,,,,,,,3.28311,LQ_N3p5_R63p25_W10p4_S14,3.3181279108156967,36.80056322187235,ok,11307,2026-06-30T09:43:25.052606+00:00
inductor_core,runs/target_L3p28311_branch3,manifest.csv,runs/target_L3p28311_branch3/manifest.csv,,,,,,,,,,,,2170,2026-06-30T09:27:30.088981+00:00
inductor_core,runs/target_L3p28311_branch3,proposal.json,runs/target_L3p28311_branch3/proposal.json,,,,,,,3.28311,,,,,5207,2026-06-30T09:27:30.088981+00:00
inductor_core,runs/target_L3p54136_branch2,best_result.json,runs/target_L3p54136_branch2/best_result.json,,,,,,,3.54136,LQ_N3p5_R67p75_W10p4_S15,3.568792332800635,38.25106595075581,ok,8561,2026-06-30T09:36:30.139855+00:00
inductor_core,runs/target_L3p54136_branch2,emx_batch_summary.json,runs/target_L3p54136_branch2/emx_batch_summary.json,,,,,,,,,,,,2187,2026-06-30T09:32:08.922350+00:00
inductor_core,runs/target_L3p54136_branch2,manifest.csv,runs/target_L3p54136_branch2/manifest.csv,,,,,,,,,,,,1613,2026-06-30T09:27:30.070835+00:00
inductor_core,runs/target_L3p54136_branch2,proposal.json,runs/target_L3p54136_branch2/proposal.json,,,,,,,3.54136,,,,,3920,2026-06-30T09:27:30.071836+00:00
inductor_core,runs/target_L3p6,manifest.csv,runs/target_L3p6/manifest.csv,,,,,,,,,,,,1613,2026-06-29T12:37:22.909429+00:00
inductor_core,runs/target_L3p6,proposal.json,runs/target_L3p6/proposal.json,,,,,,,3.6,,,,,3899,2026-06-29T12:37:22.910439+00:00
inductor_core,runs/target_L4p2,manifest.csv,runs/target_L4p2/manifest.csv,,,,,,,,,,,,2363,2026-06-29T13:32:40.014409+00:00
inductor_core,runs/target_L4p2,proposal.json,runs/target_L4p2/proposal.json,,,,,,,4.2,,,,,5633,2026-06-29T13:32:40.015409+00:00
inductor_core,runs/target_L4p51_quick,emx_batch_summary.json,runs/target_L4p51_quick/emx_batch_summary.json,,,,,,,,,,,,3851,2026-06-30T02:40:00.238576+00:00
inductor_core,runs/target_L4p51_quick,manifest.csv,runs/target_L4p51_quick/manifest.csv,,,,,,,,,,,,1623,2026-06-30T02:36:45.534877+00:00
inductor_core,runs/target_L4p51_quick,proposal.json,runs/target_L4p51_quick/proposal.json,,,,,,,4.51,,,,,3814,2026-06-30T02:36:45.535876+00:00
inductor_core,runs/target_L4p89367_highQ,manifest.csv,runs/target_L4p89367_highQ/manifest.csv,,,,,,,,,,,,1569,2026-06-30T07:21:08.820686+00:00
inductor_core,runs/target_L5p367_highQ,manifest.csv,runs/target_L5p367_highQ/manifest.csv,,,,,,,,,,,,2241,2026-06-30T05:42:29.548163+00:00
inductor_core,runs/target_L5p367_highQ_refine,manifest.csv,runs/target_L5p367_highQ_refine/manifest.csv,,,,,,,,,,,,710,2026-06-30T06:04:24.620758+00:00
inductor_core,runs/target_L5p367_mainpass,manifest.csv,runs/target_L5p367_mainpass/manifest.csv,,,,,,,,,,,,1623,2026-06-30T05:11:58.560715+00:00
inductor_core,runs/target_L5p367_mainpass,proposal.json,runs/target_L5p367_mainpass/proposal.json,,,,,,,5.367,,,,,3826,2026-06-30T05:11:58.562006+00:00
inductor_core,runs/target_L5p367_mainpass_emx,emx_batch_summary.json,runs/target_L5p367_mainpass_emx/emx_batch_summary.json,,,,,,,,,,,,3411,2026-06-30T05:17:50.916683+00:00
inductor_core,runs/target_L5p367_mainpass_emx,manifest.csv,runs/target_L5p367_mainpass_emx/manifest.csv,,,,,,,,,,,,1434,2026-06-30T05:16:12.235904+00:00
inductor_core,runs/v1,best_result.json,runs/v1/best_result.json,,,,,,,3.6,LQ_N3p5_R72_W10p4_S15,3.777236556403568,38.6368348451666,ok,32161,2026-06-29T12:38:07.264112+00:00
inductor_core,runs/v1,emx_batch_summary.json,runs/v1/emx_batch_summary.json,,,,,,,,,,,,3750,2026-06-29T13:30:51.307431+00:00
inductor_core,runs/v1,manifest.csv,runs/v1/manifest.csv,,,,,,,,,,,,21533,2026-06-29T12:42:00.084673+00:00
